,State,mean_pct_read_seng15,Sanitation,Electricity,avg_unemploy_state,avg_houshold_size,year,month,day,is_holiday,is_weekday
5180,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2020,02,27,0,1
5238,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2020,04,14,0,1
4027,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2018,02,19,0,1
1604,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2014,02,23,0,0
1118,Yobe,19.2,76.13000274,65.68313241,17.48571429,5.72,2012,11,04,0,0
3677,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2017,07,17,0,1
3490,Kaduna,46.7,70.49760818,37.14220226,12.5,6.86,2017,02,20,0,1
5833,Benue,59.5,77.68107057,63.95312548,10.18571429,5.58,2021,04,29,0,1
2958,Benue,59.5,77.68107057,63.95312548,10.18571429,5.58,2016,03,02,0,1
1994,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2014,08,16,0,0
5943,Ogun,61.4,68.77717972,21.51919305,7.485714286,3.3,2021,06,06,0,0
5204,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2020,03,15,0,0
2376,Benue,59.5,77.68107057,63.95312548,10.18571429,5.58,2015,02,09,0,1
1342,Yobe,19.2,76.13000274,65.68313241,17.48571429,5.72,2013,04,25,0,1
320,Akwa Ibom,75.5,60.14161724575931,43.095502428373365,19.28571429,4.66,2009,07,05,0,0
1619,Delta,61.5,61.91661954,27.63651907,15.68571429,3.88,2014,03,01,0,0
3713,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2017,08,05,0,0
2060,Kano,27.8,45.01400292,52.19786167,17.02857143,6.36,2014,09,17,0,1
2219,Plateau,54.4,72.92360663,63.85478973,5.185714286,5.64,2014,12,04,0,1
1673,Benue,59.5,77.68107057,63.95312548,10.18571429,5.58,2014,03,24,0,1
260,Ebonyi,67.2,87.78492808,70.04756331,11.41428571,5.1,2008,07,15,0,1
5289,Kaduna,46.7,70.49760818,37.14220226,12.5,6.86,2020,05,20,0,1
2039,Zamfara,14.9,58.76550674,70.27255893,32.35714286,5.36,2014,09,09,0,1
4785,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2019,05,11,0,0
901,Imo,76.8,41.88608527,24.77383316,21.7,4.38,2012,06,20,0,1
3744,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2017,08,24,0,1
2026,Nasarawa,49.4,60.14161724575931,43.095502428373365,9.428571429,5.28,2014,09,02,0,1
