,State,mean_pct_read_seng15,Sanitation,Electricity,avg_unemploy_state,avg_houshold_size,year,month,day,is_holiday,is_weekday
2938,Benue,59.5,77.68107057,63.95312548,10.18571429,5.58,2016,02,11,0,1
4491,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2018,11,27,0,1
3140,Benue,59.5,77.68107057,63.95312548,10.18571429,5.58,2016,06,20,0,1
4980,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2019,09,25,0,1
143,Rivers,84.0,61.35121584,17.24127233,25.34285714,4.62,2006,08,26,0,0
3577,Benue,59.5,77.68107057,63.95312548,10.18571429,5.58,2017,05,09,0,1
4946,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2019,08,27,0,1
2782,Rivers,84.0,61.35121584,17.24127233,25.34285714,4.62,2015,09,24,1,1
717,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2012,02,27,0,1
1819,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2014,05,28,0,1
2502,Rivers,84.0,61.35121584,17.24127233,25.34285714,4.62,2015,04,03,1,1
4360,Plateau,54.4,72.92360663,63.85478973,5.185714286,5.64,2018,08,28,0,1
4171,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2018,04,22,0,0
395,Plateau,54.4,72.92360663,63.85478973,5.185714286,5.64,2010,12,24,0,1
5795,Rivers,84.0,61.35121584,17.24127233,25.34285714,4.62,2021,04,24,0,0
4492,Bauchi,22.7,62.27546334,71.5275526,24.32857143,6.72,2018,11,27,0,1
1365,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2013,05,15,0,1
5461,Gombe,29.2,56.97092414,56.9547236,19.62857143,5.98,2020,10,19,0,1
595,Adamawa,40.5,60.14161724575931,43.095502428373365,20.71428571,5.44,2012,01,07,0,0
3952,Benue,59.5,77.68107057,63.95312548,10.18571429,5.58,2018,01,09,0,1
5392,Delta,61.5,61.91661954,27.63651907,15.68571429,3.88,2020,08,13,0,1
4968,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2019,09,13,0,1
2914,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2016,01,25,0,1
2326,Benue,59.5,77.68107057,63.95312548,10.18571429,5.58,2015,01,25,0,0
3766,Yobe,19.2,76.13000274,65.68313241,17.48571429,5.72,2017,09,08,0,1
3440,Yobe,19.2,76.13000274,65.68313241,17.48571429,5.72,2017,01,11,0,1
3851,Edo,67.3,48.46425951,11.4923358,13.64285714,4.14,2017,11,14,0,1
4132,Nasarawa,49.4,60.14161724575931,43.095502428373365,9.428571429,5.28,2018,04,11,0,1
5497,Delta,61.5,61.91661954,27.63651907,15.68571429,3.88,2020,11,21,0,0
2143,Nasarawa,49.4,60.14161724575931,43.095502428373365,9.428571429,5.28,2014,11,01,0,0
